,ride_date,rides,ride_duration_sum,ride_duration_avg,temp_avg,temp_min,temp_max,pres_avg,rhum_avg
71,2018-04-09,411,7508.216666666666,18.26816707218167,22.55206812652068,18.5,25.4,1012.0204379562044,81.13868613138686
72,2018-04-10,451,10705.4,23.789777777777775,23.050776053215078,17.7,25.7,1012.2521064301552,74.9290465631929
73,2018-04-11,467,9157.5,19.609207708779444,23.11541755888651,17.5,26.7,1011.9389721627409,72.36188436830835
74,2018-04-12,535,13660.833333333334,25.534267912772588,21.994205607476633,16.7,25.3,1012.9564485981308,73.9588785046729
75,2018-04-13,473,8349.783333333333,17.727777777777778,21.930021141649046,16.4,25.4,1014.2272727272727,77.19027484143763
76,2018-04-14,249,11356.033333333333,45.60655957161981,22.32570281124498,17.7,24.7,1014.8819277108433,80.08032128514056
77,2018-04-15,344,16328.683333333332,47.46710271317829,23.078197674418604,17.6,25.9,1015.3665697674418,76.46802325581395
78,2018-04-16,439,8293.25,18.89123006833713,23.66514806378132,17.6,26.2,1013.6927107061503,73.62414578587699
79,2018-04-17,498,13794.183333333332,27.810853494623654,21.765261044176707,18.2,23.9,1014.4030120481927,79.60843373493977
80,2018-04-18,489,12407.85,25.42592213114754,21.441104294478528,17.5,24.0,1016.4218813905931,75.71165644171779
81,2018-04-19,472,10337.316666666668,21.901094632768363,21.799364406779663,15.9,25.6,1016.6099576271187,71.91313559322033
82,2018-04-20,488,12498.033333333333,25.610724043715845,22.603483606557376,15.6,26.6,1014.7149590163933,71.63729508196721
83,2018-04-21,375,14102.416666666666,37.90972222222222,22.901600000000002,16.2,26.9,1012.9288,70.97333333333333
84,2018-04-22,368,16001.1,43.48125,22.444565217391304,16.0,27.2,1012.0880434782609,72.90217391304348
85,2018-04-23,332,7651.383333333333,23.115961732124873,22.13343373493976,16.3,27.7,1013.0222891566266,75.04518072289157
86,2018-04-24,507,10860.949999999999,21.421992110453647,23.81084812623274,16.2,28.2,1013.3138067061144,68.25443786982248
87,2018-04-25,474,10394.016666666666,21.974665257223396,23.302109704641353,16.3,27.8,1013.9751054852321,69.13713080168776
88,2018-04-26,476,12896.883333333333,27.094292717086834,23.72563025210084,16.1,28.6,1013.3470588235294,68.05882352941177
89,2018-04-27,484,10716.616666666667,22.1876121463078,23.973347107438016,16.0,29.0,1013.00826446281,66.18595041322314
90,2018-04-28,281,12896.916666666666,45.89650059311981,24.19288256227758,15.8,28.5,1013.5192170818506,64.11387900355872
91,2018-04-29,405,22274.033333333333,54.99761316872428,23.160493827160494,15.9,28.5,1013.7165432098766,68.66172839506173
92,2018-04-30,451,14203.416666666666,31.493163340724315,23.669844789356986,15.5,28.4,1013.5084257206208,63.532150776053214
93,2018-05-01,489,24887.433333333334,50.8945466939332,23.656237218813907,14.9,28.7,1014.3259713701432,60.6319018404908
94,2018-05-02,484,9749.3,20.184886128364386,23.903719008264463,13.6,29.1,1014.3371900826446,54.54338842975206
95,2018-05-03,511,10961.166666666666,21.492483660130716,23.878473581213306,13.7,29.2,1013.574168297456,60.75146771037182
